date,time,category,item,amount,note
2026-03-18,13:14,餐飲,滷味,120,午餐
2026-03-18,13:14,飲料,一手私藏格雷果冰茶,65,
2026-03-18,22:19,餐飲,小林火鍋,200,晚餐
2026-03-18,22:19,飲料,可樂,30,
2026-03-19,18:56,餐飲,辛辣雞肉咖哩,462,晚餐 神燈搓一下
2026-03-19,12:00,餐飲,雞排飯,103,午餐 台科
2026-03-20,16:02,餐飲,河粉、米血+大腸湯,105,午餐
2026-03-20,16:02,飲料,脆皮黑糖拿鐵,95,
2026-03-20,18:27,餐飲,雞肉飯,241,晚餐
2026-03-21,15:38,餐飲,麥味登 鐵板麵,211,午餐
2026-03-21,02:48,日用品,洗衣精+吸管+沐浴乳補充包,430,
2026-03-21,02:50,餐飲,鐵板燒,236,晚餐
2026-03-22,17:52,其他,散熱膏+電池,482,燦坤
2026-03-22,19:46,其他,GPT訂閱,701,
2026-03-22,19:47,餐飲,便當 豆乾 滷蛋,225,晚餐
2026-03-22,19:47,飲料,綠茶,16,
2026-03-22,21:06,娛樂,天堂W 鑽石,2500,
2026-03-22,21:06,娛樂,天堂W 防具,8000,
2026-03-22,21:54,娛樂,天堂W,626,
2026-03-23,23:32,餐飲,歐趴雞肉,96,午餐
2026-03-23,23:32,餐飲,耍性子,230,晚餐
2026-03-22,11:17,餐飲,拉亞漢堡 炸雞麵+奶茶+雞塊,257,午餐
2026-03-25,23:33,餐飲,咖哩,189,午餐
2026-03-25,23:33,餐飲,7-11,113,晚餐
2026-03-24,00:05,餐飲,米粉+炒麵 嘴邊肉湯,90,午餐
2026-03-24,00:05,餐飲,拉麵,200,晚餐
